goos: darwin
goarch: arm64
pkg: erl
cpu: Apple M4 Pro
BenchmarkDispatch/routes=500/case=mixed/router=std-14         	 1540900	       232.8 ns/op	     343 B/op	       2 allocs/op
BenchmarkDispatch/routes=500/case=mixed/router=std-14         	 1567893	       232.3 ns/op	     343 B/op	       2 allocs/op
BenchmarkDispatch/routes=500/case=mixed/router=std-14         	 1554996	       230.9 ns/op	     343 B/op	       2 allocs/op
BenchmarkDispatch/routes=500/case=mixed/router=std-14         	 1562594	       231.8 ns/op	     343 B/op	       2 allocs/op
BenchmarkDispatch/routes=500/case=mixed/router=std-14         	 1457599	       243.5 ns/op	     343 B/op	       2 allocs/op
BenchmarkDispatch/routes=5000/case=static/router=erl-14       	 3698116	        95.89 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=5000/case=static/router=erl-14       	 3950432	        93.76 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=5000/case=static/router=erl-14       	 4014505	        90.45 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=5000/case=static/router=erl-14       	 3933523	        95.60 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=5000/case=static/router=erl-14       	 3910831	        92.81 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=5000/case=static/router=erl-14       	 3947800	        92.68 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=5000/case=static/router=erl-14       	 3415339	        95.78 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=5000/case=static/router=erl-14       	 3940594	        95.37 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=5000/case=static/router=erl-14       	 3938654	        90.99 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=5000/case=static/router=erl-14       	 3986666	        90.01 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=5000/case=param/router=erl-14        	 1566112	       229.0 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=5000/case=param/router=erl-14        	 1588066	       227.4 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=5000/case=param/router=erl-14        	 1566933	       230.1 ns/op	     656 B/op	       3 allocs/op
